id,source,title,language,date,audio_duration,video_duration,speaker,series_name,series_part,series_order,scripture_osis,scripture_book,kind,is_conference,soundcloud_id,youtube_id,topics
sc-2338530545,soundcloud,La doctrine de l'incarnation de Christ,fr,2026-06-13,3389,,David Pelosi,Évangile de Luc,,1,Luke.1.26-Luke.1.38,Luke,sermon,False,2338530545,,Incarnation; Christologie; Nature de Christ (deux natures); Naissance virginale; Trinité; Médiation du Christ; Hérésies christologiques
sc-2334913202,soundcloud,Introduction à la Christologie : Déclarations capitales,fr,2026-06-07,3477,,David Pelosi,Épître aux Colossiens,,3,Col.1.12-Col.1.20,Col,sermon,False,2334913202,,
sc-2334907916,soundcloud,Introduction au panorama général de la Bible,fr,2026-06-07,2766,,David Pelosi,,,,,,teaching_or_qa,False,2334907916,,
sc-2326480337,soundcloud,Introduction à la Christologie : Ordre confessionnel,fr,2026-05-24,3053,,David Pelosi,Épître aux Colossiens,,2,Col.1.12-Col.1.20,Col,sermon,False,2326480337,,
sc-2309532407,soundcloud,Le triomphe de la miséricorde,fr,2026-04-26,3291,,David Pelosi,Épître de Jacques,,14,Jas.2.12-Jas.2.13,Jas,sermon,False,2309532407,,
sc-2305315550,soundcloud,,fr,2026-04-19,3913,,David Pelosi,Actes des Apôtres,,1,Acts.1.1-Acts.1.11,Acts,sermon,False,2305315550,,
sc-2296940147,soundcloud,,fr,2026-04-05,4108,,David Pelosi,Évangile de Jean,,5,John.13.1-John.13.18,John,sermon,False,2296940147,,
sc-2284148612,soundcloud,Galates 6 : 1,fr,2026-03-15,4234,,David Pelosi,Épître aux Galates,,68,Gal.6.14,Gal,sermon,False,2284148612,,
sc-2279697239,soundcloud,"Le jugement imminent de Dieu : la nuit est avancée, le jour approche",fr,2026-03-08,3898,,David Pelosi,Étude — Ézéchiel,,11,Ezek.7.5-Ezek.7.7,Ezek,sermon,False,2279697239,bA_raD3yptU,
sc-2275538630,soundcloud,Le légalisme transgresseur face à la liberté sanctifiante,fr,2026-03-01,3884,,David Pelosi,Épître aux Galates,,67,Gal.6.13,Gal,sermon,False,2275538630,RoEGlbc9Td0,
sc-2271246476,soundcloud,"Christ, Prêtre et Roi de paix",fr,2026-02-22,3783,,David Pelosi,Épître aux Hébreux,,28,Heb.7.1-Heb.7.2,Heb,sermon,False,2271246476,lQJIB1N_Jl4,
sc-2270784290,soundcloud,La supériorité de la nouvelle alliance,fr,2026-02-21,3681,,David Pelosi,Épître aux Hébreux,,2,Heb.1.1-Heb.1.4,Heb,sermon,False,2270784290,,
sc-2267022659,soundcloud,L'adoration au cœur du salut en Jésus-Christ,fr,2026-02-15,3089,,David Pelosi,Évangile de Jean,,4,John.4.1-John.4.24,John,sermon,False,2267022659,,
sc-2262405503,soundcloud,La foi authentique : promouvoir la liberté par le don de soi,fr,2026-02-08,3628,,David Pelosi,Épître aux Galates,,66,Gal.6.12-Gal.6.13,Gal,sermon,False,2262405503,,
sc-2261976683,soundcloud,L'alliance de grâce dans l'AT et NT : une seule et même alliance,fr,2026-02-07,3826,,David Pelosi,Épître aux Romains,,1,Rom.4.1-Rom.4.25,Rom,sermon,False,2261976683,,
sc-2259635702,soundcloud,L'amour extraordinaire du Dieu trinitaire,fr,2026-02-03,2732,,David Pelosi,Évangile de Jean,,3,John.3.16,John,sermon,False,2259635702,,
sc-2259630446,soundcloud,La destruction totale d'Israël pour mettre fin à leur vie misérable selon Dieu,fr,2026-02-03,2386,,David Pelosi,Étude — Ézéchiel,,10,Ezek.7.1-Ezek.7.4,Ezek,sermon,False,2259630446,,
