2338530545\tLa doctrine de l'incarnation de Christ | Luc 1 : 26 - 38
2334913202\tIntroduction à la Christologie : Déclarations capitales | Colossiens 1 : 12 - 20
2334907916\tIntroduction au panorama général de la Bible
2326480337\tIntroduction à la Christologie : Ordre confessionnel | Colossiens 1 : 12 - 20
2309532407\tLe triomphe de la miséricorde | Jacques 2 : 12 - 13
2305315550\tActes 1 : 1 - 11
2296940147\tJean 13 : 1 - 18
2284148612\t2026_03_15 | Galates 6 : 14
2279697239\tLe jugement imminent de Dieu : la nuit est avancée, le jour approche | Ézéchiel 7 : 5 - 7
2275538630\tLe légalisme transgresseur face à la liberté sanctifiante | Galates 6 : 13
2271246476\tChrist, Prêtre et Roi de paix | Hébreux 7 : 1 - 2
2270784290\tLa supériorité de la nouvelle alliance | Hébreux 1 : 1 - 4
2267022659\tL'adoration au cœur du salut en Jésus-Christ | Jean 4 : 1 - 24
2262405503\tLa foi authentique : promouvoir la liberté par le don de soi | Galates 6 : 12 - 13
2261976683\tL'alliance de grâce dans l'AT et NT : une seule et même alliance | Romains 4 : 1 - 25
2259635702\tL'amour extraordinaire du Dieu trinitaire | Jean 3 : 16
2259630446\tLa destruction totale d'Israël pour mettre fin à leur vie misérable selon Dieu | Ézéchiel 7 : 1 - 4
2258368859\tL'impitoyable condamnation de la loi, une et indivisible | Jacques 2 : 8 - 11
2258331260\tDédicace du Temple : Christ notre lieu d'adoration | 1 Rois 8 : 27 (Pr. David Pelosi)
2258129696\tLa foi authentique : les vraies affections religieuses | Galates 6 : 11 - 18
2257818737\tIntroduction à l'Alliance de grâce dans le NT | 1 Pierre 1 : 8 - 13
2253830741\tUn ultimatum au christianisme authentique | Galates 6 : 11 - 18
2250429056\tL'Alliance de grâce dans l'AT | Genèse 3 : 9 - 24
2250427724\tIntroduction à l'Alliance de Dieu | Genèse 3 : 9 - 24
2249668412\tNe nous laissons pas de faire le bien | Galates 6 : 9
2223785435\tLa culpabilité et la pollution originelle | Romains 5 : 12 - 19
2216419829\tChrist en Melchisédech : le prêtre du Dieu Très-Haut | Hébreux 7 : 1
2216417279\tLe péché originel | Romains 5 : 12 - 19
2210690636\tLa description biblique et confessionnelle de la chute de l'homme | Genèse 3 : 9 - 24
2210660165\tLa Loi du Christ (I) : restaurer un frère avec douceur et humilité | Galates 5 : 26
2205625143\t2025_10_31 Questions et Réponses | Nathanaël Fis
2205619247\tLamentations et compassion d'Ézéchiel face aux iniquités et au jugement d'Israël| Ézéchiel 6 : 11 - 14
2199484955\tFruit de l'Esprit : la tempérance | Galates 5 : 22
2193800499\tLes conséquences du péché | Genèse 3 : 7 - 24
